XX,YY
141.67,47.594
130.53,30.592
110.06,40.918
104.05,29.356
43.406,17.78
12.57,50.587
106.44,16.654
50.828,36.477
116.78,40.823
86,26.667
119.54,33.323
134.73,28.324
158.43,22.019
103.63,23.793
64.673,16.19
78.419,42.588
112.04,44.542
110.33,41
33.333,21
121.25,33.248
57.071,34.655
130.95,47.621
94.285,40.463
124.25,28.372
62.479,13.605
50.3,35.87
34.829,12.915
78.602,33.407
106.33,56
74.062,21.977
52.297,19.522
100.78,70.747
87.461,13.351
77.216,41.919
64.597,36.683
56.899,18.81
116.67,35.667
137.6,56.987
75.333,54.333
44.465,35.142
129.25,24.476
147.32,45.25
91.667,40.333
84.333,27
82,39.667
67.158,8.3255
107.2,54.994
66.828,15.458
60.263,25.372
40.86,36.913
5.984,57.984
91.559,19.355
141.37,37.802
131.63,72.433
144.95,54.932
96.333,39
98.664,11.364
124.12,13.828
23.233,25.209
52.869,28.787
111.37,33.153
125.61,34.464
149.77,33.244
57.414,28.848
67.333,38
81.384,40.581
146.62,46.244
89.997,20.234
139.33,51
76.333,51.333
144.2,39.465
124.44,17.003
69.502,66.289
137.09,56.719
71.095,44.77
103.74,63.532
94.904,17.631
107.38,39.912
129.18,66.228
51.211,37.486
66.777,19.456
64.472,26.87
70.041,16.143
82,38
111.26,38.829
103,51.048
73.967,16.328
87.779,29.666
60.16,36.072
121.57,33.058
117.18,34.89
132.42,14.013
43.171,17.927
107.98,55.733
20.204,34.099
61.753,36.543
151.45,34.94
87,26.333
121.05,23.615
88.93,17.639
90.667,38.667
109.49,25.113
129.58,34.529
109.94,47.14
113,40.333
58.428,13.668
146.87,43.415
115.48,36.412
108.29,53.207
121.93,27.663
86.471,39.818
75,39
51.657,35.697
109.2,55.598
109.67,48
120.84,37.648
112.57,17.208
77.414,19.962
153.21,41.031
129.38,69.54
122.44,20.749
12.004,50.825
89.265,26.478
132.03,70.728
128.34,32.991
70.473,66.761
96,27
123.52,34.152
134.77,15.366
133.05,66.832
84.285,28.309
131.15,66.554
70.85,67.025
70.7,44.162
64.078,19.207
63.885,37.189
26.667,20
116.1,17.473
119.11,42.24
97.427,16.15
103.45,16.57
174.67,52.333
104.93,59.878
82.577,30.571
56.799,23.754
136.49,54.03
68.516,65.775
143.58,49.914
99.48,39.645
46.142,48.821
108.86,22.152
63.812,12.32
149.66,40.149
141.83,41.938
69.11,64.609
137.94,43.826
21.988,33.062
118.67,41.333
95.903,40.09
73.59,60.471
136,46.667
151.12,40.262
74.565,38.433
117.5,12.522
143.39,39.263
138,50.667
121.33,42.667
104.67,41.341
114.55,44.068
107.57,44.748
77.909,26.438
142.78,49.23
82.86,24.402
136.67,23
77.129,40.361
130.26,72.44
102.91,38.377
119.17,41.916
78.636,50.009
119.03,23.267
74.488,18.858
84.333,26.667
121.22,24.788
73.625,58.153
89.186,37.893
58.075,31.438
62.386,8.5444
36.019,41.3
100.58,34.619
109.12,44.925
106.27,27.567
104,71.546
113.04,17.22
71.853,37.893
49.892,40.158
55.346,29.978
115.75,37.538
69.556,67.107
138.1,50.188
105.28,23.43
121.53,46.133
45.35,47.864
121.74,44.622
86.585,26.535
74.66,21.678
22.108,32.123
118.74,31.699
131.87,72.733
99.333,28
126.55,18.403
101.81,66.847
43,12.333
57.528,31.326
102.05,23.13
103.39,25.901
125.95,32.62
91.675,19.93
130.79,52.933
102.35,66.318
163.29,46.942
117.67,41.667
126.38,20.96
119.99,43.88
65.174,37.748
76.648,53.39
136.48,59.062
82,38
91.002,37.124
96,22
133.03,48.909
112.03,50.386
140.37,37.567
46.887,35.153
93.965,40.822
26.761,23.224
122.7,26.083
123.84,22.431
201.51,59.747
98.567,15.605
131.63,71.107
149.93,32.8
73.188,59.841
73.459,41.268
56.313,28.884
114,41
98.333,39
96.601,23.265
77.06,24.786
114.65,34.179
43.801,62.643
92.24,25.898
145.15,45.791
126.89,16.079
112.98,17.301
79.41,43.365
77.945,27.143
69.271,19.582
74.667,55.667
58.824,30.183
111.25,38.801
98.242,48.071
30.716,34.897
125.52,12.924
57.462,24.831
105.37,59.011
77.425,69.171
40.666,61.883
89.523,15.14
74.086,37.099
122.26,40.447
73.409,16.804
73.93,29.499
43.019,23.491
116.31,35.07
43.123,36.675
107.12,48.222
89.68,15.204
112.76,20.378
41.168,61.123
110.79,45.688
47.967,44.861
145.01,48.681
40.646,22.351
130.48,47.913
116.14,14.309
120.67,39.333
113.7,50.994
73.372,25.366
132.41,70.311
75.297,20.032
105.09,41.44
97.433,39.955
62.333,38.333
20,34
